title,category
"군위군, ‘군위 溫돌’ 통합돌봄…“살던 곳에서 끝까지 돌본다”",Social
‘北무인기’ 관련 국정원 직원·군인 등 3인 검찰 송치,Social
"조정훈 ""강제 회비·공천 개입 없었다""…공천헌금 의혹 반박",Social
“애 둘 기저귀 때문에 매일 1장 쓰는데”… 정부 “일반 봉투 허용 검토”,Social
퇴근때 음료 3잔 가져간 알바 檢송치… “폐기할 음료” “그래도 돈 내야” 공방,Social
"AI '가짜 판례'에…법원TF ""소송비용 부담·징계 요청 제안""",Social
"2일부터 약물 운전 처벌 강화…경찰, 두 달간 특별 단속",Social
"평가원, 2027학년도 수능 안내자료 홈페이지에 공개",Social
이혼소송 중 아내 살해한 뒤 시신 버리려 한 60대 검거,Social
"강서구, '2026 한국 비즈니스 엑스포' 개최…75개국 바이어 집결",Social
“약속 파기” vs “사실무근”…도성훈 3선 앞두고 진실 공방,Social
"""키워주신 할머니, 요양병원 모시면 천벌 받을까"" 손주 간병 고민",Social
[에듀플러스][2027 대입 집중 분석]⑥올해도 늘어나는 첨단학과…“서울 주요 대학 'AI·반도체 인재' 선발 늘린다”,Social
"‘장기기증’ 故 김창민 감독, 알고보니 폭행 당해 뇌출혈로 숨져",Social
"국힘 ""여직원과 칸쿤 출장""…정원오 ""실무 담당자, 단순 오기""",Social
국민의힘 대구 달서구청장 후보로 김용판 전 의원 확정,Social
"쓰는 앱만 봐도 세대가 보인다…“10대는 공부, 50대는 쇼핑”",Social
"성동구, 정원오 칸쿤 출장 의혹에 ""정상적 행정 절차""",Social
"한화오션, 창원서 ‘K해양방산’ 이끌 ‘비밀무기’ 공개한다",Social
"김영록 “단일화 존중…통합특별시, 갈등 아닌 공동정부로 이끌 것” [6·3의 선택]",Social
"종합특검, ""尹, 군형법상 반란"" 고발한 김경호 변호사 소환조사",Social
“39.8도까지 올랐는데도 출근”...숨진 유치원 교사의 마지막 메시지,Social
백종원 “억지 민원·고발로 잃어버린 1년…오너리스크 사라질 것”,Social
증권범죄 양형기준 상향…감형 노린 '기습 공탁' 기준도 수정,Social
"'폐기 음료' 3잔 가져간 카페 알바, 업무상 횡령?…법조계 ""평소 폐기 처리 방식 등 살펴봐야""",Social
"""공무원에 선거운동 시켜""...최윤홍 전 부산 부교육감 징역형 집유",Social
"'마약왕' 박왕열, 들킨 마약만 30억... 은닉 재산 어디에 숨겼나",Social
"""운전해보고 싶어서""…훔친 K5로 경찰차 들이받고 도주 10대 구속",Social
"[속보] 아들이 ""부모님과 연락두절"" 신고…알고보니 아빠가 엄마 살해 후 시신 유기 시도",Social
"전자신문 구성원들 ""정상적 근무환경 유지 어렵다"" 집단 반발",Social
"검찰, 주유소서 새치기 시비하다 흉기 꺼낸 남성 구속영장 반려",Social
휴가 중 '군인 정신' 빛났다…택시기사 폭행범 끝까지 쫓은 육군 일병,Social
"'3.11 쇼크'에 무너졌던 수능 난이도, 올해는 다를까",Social
"70억 들인 명정천, 쓰레기로 주민 '눈살'…1주일째 방치",Social
“94세 맞나” 풍성한 머리에 탄력 피부…‘최강 동안’ 이길여 총장 화제,Social
'2조 빌트인 입찰 담합' 가구업체 유죄 확정…최양하 전 한샘 회장 무죄,Social
"[6·3충북]여야 기초단체장, 광역·기초의원 후보 윤곽(종합)",Social
"경기도교육감 진보후보 단일화 절차 중단...유은혜 ""안민석, 단일화 파행 시도 멈춰야""",Social
못 박힌 판자 누워 망치 '쾅쾅'...김정은 활짝 웃게 한 북한 '특수부대원',Social
