title,category,reviews
"""필터 낀 줄…종말 온 것 같다"" 새빨갛게 물든 호주 하늘, 무슨 일",World,필터 끼다 종말 빨갛다 물든 호주 하늘
"트럼프 ""이란과 협상 불발 시 하르그섬·발전소 폭파""",World,트럼프 이란 협상 불발 르그 발전소 폭파
"美, 러 유조선 쿠바 입항 허용… “어차피 무너질 것”",World,유조선 쿠바 입항 허용 어차피 무너지다
후티반군 참전에 수에즈도 막히나…해운 테마주 또 '급등',World,후티 반군 참전 수에즈 막히다 해운 테마주 급등
"“세잔·르누아르·마티스, 3분만에 한점씩”…이탈리아 미술관서 140억대 도난 사건",World,세잔 르누아르 마티스 분만 이탈리아 미술관 억대 도난 사건
"54년 만에 달 가는 유인 우주선 ‘아르테미스Ⅱ’ 카운트다운 돌입, 1일 발사",World,가다 유인 우주선 아르테미스 카운트다운 돌입 발사
"루비오 ""호르무즈 해협, 어떻게든 다시 열린다""",World,루비 호르무즈 해협 린다
호르무즈 통행료 현실화하나… 중동 4개국 논의 가세,World,호르무즈 통행료 실화 중동 개국 논의 가세
트럼프 “협상 불발 땐 인프라 완전히 파괴”…“아랍 국가들과 전쟁 비용 분담 원해”,World,트럼프 협상 불발 인프라 완전하다 파괴 아랍 국가 전쟁 비용 분담 원하다
이스라엘·헤즈볼라 충돌에…레바논서 유엔 평화유지군 첫 사망,World,이스라엘 헤즈볼라 충돌 레바논 유엔 평화유지군 사망
"트럼프 ""초토화 공격 후 이란 떠난다""…'6주차' 내주 승리선언?",World,트럼프 초토화 공격 이란 떠나다 주차 내주 승리 선언
"비대칭 전쟁의 현실…“이란 3000만원짜리 드론, ‘美 1조원 조기통제기’ 박살” [핫이슈]",World,대칭 전쟁 현실 이란 만원 짜다 드론 조원 조기 통제 박살 핫이슈
"이스라엘군, 1600km 떨어진 북부 이란 군 시설 공습",World,이스라엘군 떨어지다 북부 이란 시설 공습
국제유가 100달러 돌파 마감...이란 의회 '호르무즈 통행료' 승인,World,국제 유가 달러 돌파 마감 이란 의회 호르무즈 통행료 승인
"""우크라이나 다음은 이곳?"" 러 망명 재벌, 푸틴 다음 타깃 찍었다",World,우크라이나 망명 재벌 푸틴 타깃 찍다
"트럼프 ""세 번째 정권과 협상""…이란 실권자 공백에 美도 혼선",World,트럼프 정권 협상 이란 실권 공백 혼선
"""월세 못 내면 바로 쫓겨난다""⋯프랑스, '강제 퇴거' 사상 최대치 기록",World,월세 내면 쫓겨나다 프랑스 강제 퇴거 사상 대치 기록
"'터보퀀트' 파장, 마이크론 10% 급락…'돈나무언니'도 기술주 팔았다",World,터보 퀀트 파장 마이크론 급락 돈나무 기술 파다
"‘트럼프 위협’에도 굴하지 않는 스페인, 미군 영공 통과 막아…“나토 갈등 확산”",World,트럼프 위협 스페인 미군 영공 통과 막다 나토 갈등 확산
이란 전쟁 언제 끝나냐는 질문에 美 백악관 “계산해보라”,World,이란 전쟁 끝나다 질문 백악관 계산 해보다
"알루미늄 가격 급등…""2022년 이후 최고 수준""",World,알루미늄 가격 급등 최고 수준
이란 헤즈볼라 하이파 동시공격…이스라엘 “경제 목표물 공격”,World,이란 헤즈볼라 하이파 동시 공격 이스라엘 경제 목표 공격
"韓증시, 이란 전쟁으로 세계증시 신데렐라에서 골칫거리로",World,증시 이란 전쟁 세계 증시 신데렐라 골칫거리
핵 개발에 목숨 건 이란… 지상전 통한 우라늄 확보도 어려워 트럼프 진퇴양난,World,개발 목숨 이란 지상전 통한 우라늄 확보 어렵다 트럼프 진퇴양난
"달 향하는 우주선 '아르테미스Ⅱ'…NASA, 50시간 카운트다운 시작",World,우주선 아르테미스 카운트다운 시작
"이란, 후티 압박...""홍해 지나는 선박 공격 준비하라""",World,이란 후티 압박 홍해 지나다 선박 공격 준비 하라
"日, '반격능력' 핵심 전력 장사정 미사일 오늘 배치",World,반격 능력 핵심 전력 장사정 미사일 오늘 배치
트럼프에 안 굽히는 스페인…美군용기 영공 통과도 불허,World,트럼프 굽히다 스페인 군용기 영공 통과 불허
"""트럼프 담수 시설 파괴는 중동 전체의 재앙""",World,트럼프 담수 시설 파괴 중동 전체 재앙
"“사모대출 흔들리는데”…트럼프, ‘2경원’ 퇴직연금까지 열었다",World,사모 대출 흔들리다 트럼프 경원 퇴직 연금 열다
"""폭탄 떨어져도 경제 잘 돌아가""⋯이란 '저항 경제', 전쟁 속 저력 입증",World,폭탄 떨어지다 경제 자다 돌아가다 이란 저항 경제 전쟁 저력 입증
