title,category
"""필터 낀 줄…종말 온 것 같다"" 새빨갛게 물든 호주 하늘, 무슨 일",World
"트럼프 ""이란과 협상 불발 시 하르그섬·발전소 폭파""",World
"美, 러 유조선 쿠바 입항 허용… “어차피 무너질 것”",World
후티반군 참전에 수에즈도 막히나…해운 테마주 또 '급등',World
"“세잔·르누아르·마티스, 3분만에 한점씩”…이탈리아 미술관서 140억대 도난 사건",World
"54년 만에 달 가는 유인 우주선 ‘아르테미스Ⅱ’ 카운트다운 돌입, 1일 발사",World
"루비오 ""호르무즈 해협, 어떻게든 다시 열린다""",World
호르무즈 통행료 현실화하나… 중동 4개국 논의 가세,World
트럼프 “협상 불발 땐 인프라 완전히 파괴”…“아랍 국가들과 전쟁 비용 분담 원해”,World
이스라엘·헤즈볼라 충돌에…레바논서 유엔 평화유지군 첫 사망,World
"트럼프 ""초토화 공격 후 이란 떠난다""…'6주차' 내주 승리선언?",World
"비대칭 전쟁의 현실…“이란 3000만원짜리 드론, ‘美 1조원 조기통제기’ 박살” [핫이슈]",World
"이스라엘군, 1600km 떨어진 북부 이란 군 시설 공습",World
국제유가 100달러 돌파 마감...이란 의회 '호르무즈 통행료' 승인,World
"""우크라이나 다음은 이곳?"" 러 망명 재벌, 푸틴 다음 타깃 찍었다",World
"트럼프 ""세 번째 정권과 협상""…이란 실권자 공백에 美도 혼선",World
"""월세 못 내면 바로 쫓겨난다""⋯프랑스, '강제 퇴거' 사상 최대치 기록",World
"'터보퀀트' 파장, 마이크론 10% 급락…'돈나무언니'도 기술주 팔았다",World
"‘트럼프 위협’에도 굴하지 않는 스페인, 미군 영공 통과 막아…“나토 갈등 확산”",World
이란 전쟁 언제 끝나냐는 질문에 美 백악관 “계산해보라”,World
"알루미늄 가격 급등…""2022년 이후 최고 수준""",World
이란 헤즈볼라 하이파 동시공격…이스라엘 “경제 목표물 공격”,World
"韓증시, 이란 전쟁으로 세계증시 신데렐라에서 골칫거리로",World
핵 개발에 목숨 건 이란… 지상전 통한 우라늄 확보도 어려워 트럼프 진퇴양난,World
"달 향하는 우주선 '아르테미스Ⅱ'…NASA, 50시간 카운트다운 시작",World
"이란, 후티 압박...""홍해 지나는 선박 공격 준비하라""",World
"日, '반격능력' 핵심 전력 장사정 미사일 오늘 배치",World
트럼프에 안 굽히는 스페인…美군용기 영공 통과도 불허,World
"""트럼프 담수 시설 파괴는 중동 전체의 재앙""",World
"“사모대출 흔들리는데”…트럼프, ‘2경원’ 퇴직연금까지 열었다",World
"""폭탄 떨어져도 경제 잘 돌아가""⋯이란 '저항 경제', 전쟁 속 저력 입증",World
"이스라엘, 이란 경제 숨통 조인다…'군사→산업' 타깃 전환",World
"'지도부 표적살해' 협상 자충수 됐다…""이란 의사결정구조 붕괴""",World
트럼프 ‘초토화’ 경고 속 美 공수부대 중동 도착…이란은 호르무즈·홍해 양동 작전,World
"""20척 통과"" 트럼프 자랑했는데…""낚시용"" 비웃은 해운 브로커, 왜?",World
"""앞으로도 호르무즈 돌아가는 게 좋다""는 네타냐후...""목표 절반 달성, 종전 시한 없어""",World
"100달러 넘은 유가, 2022년 이후 최고…""200달러 갈 수도""",World
"중국에 '이례적 불허' 이후...""호르무즈 해협 잠재적 변화 신호"" [지금이뉴스]",World
미군 레인저·네이비실·82공수사단 중동에 속속 도착…지상전 병력 증강에 긴장 고조,World
"“이란, ‘홍해도 막을 준비하라’ 후티 반군에 압박”",World
"백악관 ""트럼프, 아랍국에 이란전쟁 비용 부담하게 하는 데 꽤 관심있을 것""",World
"이란, 후티 홍해 봉쇄 압박…글로벌 물류에 치명적 위기",World
"美 NASA, 54년만 인류 달 탐사 카운트다운 시작…1일 우주선 발사 예정",World
"[자막뉴스] 트럼프, 전쟁 비용 떠넘기기?...손 내젓는 각국에 ""기억하겠다"" 으름장",World
"일, 호위함 개조 이어 육상 부대에 '반격 능력' 미사일 첫 배치",World
"이 옵션 저 옵션 다 넣던 중동 갑부들 떠날라…스포츠카 업계도 ""속 탄다, 속 타""",World
"미국, 최정예 공수부대 병력 중동 배치…지상군 투입 준비하나",World
"“가도 가도 또 생각나”…일본에 푹 빠진 MZ, 세대별 ‘최애 도시’는 완전 달랐다",World
"트럼프의 ""이란 해수담수화 공장 파괴"" 위협.. 그 의미는?--AP",World
호르무즈 통행료...트럼프라면 '나눠갖자' 할까? [Y녹취록],World
이란 헤즈볼라 하이파 동시공격…이스라엘 “경제 목표물 공격”,World
"“미국에선 못 한다”… 세계 수학자들, 집단 보이콧 선언",World
"[월드앤이슈] 트럼프 ""진지한 협상중""…이란, 호르무즈 통행료 승인",World
"美국방장관, 내부자거래 시도했나…""이란 공격전 방산투자 문의""",World
전세계 방산업체들 드론 요격 저가 미사일 개발 러시,World
트럼프와 갈 데까지 가는 스페인… “美 군용기 영공 통과 금지”,World
"은둔의 이란 최고지도자 모즈타바, 3번째 서면 메시지 “이란 지지한 이라크에 감사”",World
지상군 속속 증원…미 82공수사단 수천 명 중동 도착,World
"日, 호위함 개조 이어 육상부대에 '반격능력' 미사일 첫 배치",World
"""이란, 후티 반군에 '홍해도 막을 준비하라' 압박""",World
“30억 내야 지나갈 수 있다고?”…이란 의회 ‘호르무즈 통행료’ 징수 법안 승인,World
미 82공수사단 수천명 중동 도착…지상전 대비 병력 증강 고조,World
"'상륙작전' 美해병대 이어…""공수부대 병력 수천명 중동 도착""",World
유럽 아니면 미국?... 젤렌스키 “동맹국이 러 에너지 시설 공격 자제 요청”,World
"이란전쟁에 원유 팔아 3조 챙긴 러…“'미국의 눈' 박살낸 이란, 러가 100% 도왔다”",World
"""생존 신호가 전혀 없어""...서면 메시지만 반복하는 모즈타바 [이슈톺]",World
"""이란 공격에 걸프국 요격미사일 최소 2400발 소진…거의 바닥""",World
트럼프 이어 루비오도 NATO 탈퇴 가능성 시사…“전면 재검토”,World
"트럼프, '궤멸적 타격' 경고…일방적 종전 선포 가능성도",World
마두로 체포·이란 전쟁 예측에 내부자거래 있었나…美검찰 조사,World
"뉴욕증시, 중동 정세 불확실성·기술주 부담에 혼조 마감",World
"미 국무 ""이란 전쟁 끝나면 나토 재검토""…탈퇴 카드 꺼내나",World
"미국, 이란전 끝나고 나면...예고했던 '보복' 현실되나 [지금이뉴스]",World
"백악관 ""걸프전 때도 아랍국가들이 비용 분담""...당시 어땠나? [앵커리포트]",World
"네타냐후 “이란 전쟁, 절반 이상 왔다… 종료 시점은 미정”",World
"트럼프 ""이란 폭파·초토화"" 발언에…WTI 100달러 넘었다",World
"미, 나토동맹 압박…네타냐후 ""목표 달성 근접""",World
"日, 1000㎞ 장거리미사일 첫 배치…中 겨냥 '반격능력' 일환",World
"이란 측, '호르무즈 통행료' 법안 통과…""당연히 지불해야""",World
후티 참전에 ‘불붙은 유가’…WTI 3년8개월 만에 100달러 돌파 마감,World
"트럼프, 협상상대 갈리바프 이란 의회 의장 공식 확인...“실권 없어 협상 안갯속” 평가",World
"트럼프, '초토화' 으름장…""황금 기회 살려야""",World
"""경기도지사 왜 나오셨냐"" 추미애 코너로 몬 김동연",World
"나토는 재검토, 아랍국가엔 전쟁 비용 분담…美, 이상한 이란 전쟁 ‘청구서’",World
"트럼프 ""이란, 휴전 타결 안 하면 하르그섬·발전소 폭파할 것""",World
"美, 나토 탈퇴 카드?…국무장관 ""전쟁 끝나면 재검토""",World
"한화디펜스-필리조선소, 미 해군 첫 수주…차세대 군수함 개발",World
"네타냐후 ""전쟁 목표 절반 이상 달성…이란, 내부 붕괴할 것""(종합)",World
"""월남전으로 빠져들어가는 것""...미군 안전까지 위험한 도박? [이슈톺]",World
"[중동전쟁] 이란 의회, 호르무즈 해협 통행료 징수법안 승인",World
"이스라엘, 종전 시점 ""정하지 않겠다""...목표 ""절반 이상 달성""",World
"""이란, 美 확전시 후티 반군에 홍해 공격하도록 압박""",World
"트럼프 ""합의 안 되면 하르그·발전소 폭파""...미 국무 ""나토 재검토할 것""",World
트럼프 이어 루비오도 나토 탈퇴 시사…“이란전 끝나면 전면 재검토”,World
“전쟁 한 달째인데 슈퍼마켓엔 물건이 가득”…이란 ‘저항 경제’ 언제까지 버틸까,World
美 루비오 국무 “이란 전쟁 후 나토 관계 재평가”-알자지라 인터뷰,World
"[부자들의 투자노트] 파월 ""현 통화정책, 이란전쟁 영향 지켜보기 좋은 위치""",World
"""굉장히 수상한 움직임""...트럼프 발표 전 폭증한 거래 [굿모닝경제]",World
미 국무 “이란 전쟁 끝나면 나토 재검토”…탈퇴도 시사,World
"[속보] 이란 의회, 호르무즈 통행료 부과법안 추진",World
"돼지고기 가격, 채소보다 싸다?...중국 공급과잉에 사상 최저 기록",World
"해협 통과할 때마다 30억?…이란, '호르무즈 통행료' 승인",World
'동시 공격'에 화염 치솟은 정유시설…'저항의 축' 재결속,World
"한화디펜스-필리조선소, 美해군 첫 수주…차세대 군수함 개발(종합)",World
"""우리 선원들, 호르무즈에 갇힌 전쟁포로나 다름 없어‥파병은 신중히"" [모닝콜]",World
네타냐후 “이란전 목표 절반 이상 달성”…종전 시점은 언급 안 해,World
