title,category
"유엔 인권이사회, 북한인권결의안 채택…24년 연속",Politics
"정부, 독도 조사·접근성 강화...5년간 4,339억 투입",Politics
"이혁재, '한동훈 만세' 외친 청년에 ""내가 젊었으면 폰 던졌다""",Politics
민주 경기지사 후보들 첫 토론‥정책·공약 설전,Politics
"김재섭 ""정원오, 구청장 시절 여직원과 칸쿤 출장...의결서엔 남성 기록""",Politics
"李대통령 ""종량제 봉투 재고 충분…지엽적 문제 과장돼""",Politics
김부겸 대구시장 적합도 49.5% ‘1위’…국힘 후보 지지율 합계보다 높다,Politics
이 대통령 “한·인니 전투기 공동개발 세계적 모범…방산협력 확장”,Politics
"김부겸 전 총리 ""대구가 가슴속에 가진 잠재력 이번에 저하고 한번 폭발시킵시다""",Politics
"진성준 ""부동산 보유세 인상, 7월 세제개편 포함 가능성 상당""",Politics
"김용, 박상용 검사 녹취록에 격분... ""빙산의 일각, 조작 수사의 스모킹건 드러났다""",Politics
"[영상]“원샷이에요?” 한라봉 주스 들이킨 李대통령, ‘하GPT’등 참모들에게 초콜릿 선물 쐈다",Politics
부산 북구갑 가상대결 조국 29.1% vs 한동훈 21.6%…출마 여부 변수로,Politics
"김재섭 ""정원오, 출장女직원 男으로 둔갑""…鄭 ""구청 측 실수""",Politics
"조정훈 ""강제 회비·공천 개입 없었다""…공천헌금 의혹 반박",Politics
"한동훈 ""욕을.. 너무 화내지 말라""·조국 ""세상이 자기 중심으로 돌아가는 줄 아나""",Politics
"이 대통령, 중동발 에너지 위기에 ""긴급할 경우 긴급재정명령 가능""",Politics
"[르포]""사람보고 찍어야지 안그래예"" VS 미워도 다시 한 번…흔들리는 부산",Politics
[뉴스포커스] 김부겸 출마 선언…보수 텃밭 ‘대구 선거판’ 요동,Politics
"이 대통령, '종량제 봉투 대란'에 ""헛소문 퍼뜨린 사람 찾으라"" 경찰에 지시",Politics
"김용태 ""제주 ⅓은 후보도 못 내, 국힘 후보 다 흰색…장동혁, 그런데도 이혁재를?""",Politics
“또 ‘오세훈 했다’ 비판 듣고 싶나”…吳 집중 견제하는 與 후보들,Politics
"김재섭 “정원오, 女직원과 칸쿤 출장가고 성별 바꿔” vs정원오 “정상 공무, 무도한 네거티브”",Politics
